City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Zhangjiakou,CN,2023-01-19 22:07:11,40.81,114.8794,-0.53,70,0,3.83
145,Yangjiang,CN,2023-01-19 22:07:11,21.85,111.9667,54.59,79,27,5.84
146,Mayor Pablo Lagerenza,PY,2023-01-19 22:07:12,-19.9309,-60.7718,91.09,43,99,9.91
147,Kamenka,RU,2023-01-19 22:07:12,51.3223,42.7678,24.06,78,76,15.82
148,La Palma,US,2023-01-19 22:07:13,33.8464,-118.0467,62.19,67,75,10.36
149,Barrow,US,2023-01-19 22:07:13,71.2906,-156.7887,-9.38,77,100,10.36
150,Binzhou,CN,2023-01-19 22:07:14,37.3667,118.0167,20.91,35,1,7.43
151,Coahuayana,MX,2023-01-19 22:07:14,18.7333,-103.6833,80.8,59,70,6.51
152,Treinta Y Tres,UY,2023-01-19 22:06:14,-33.2333,-54.3833,79.36,49,81,15.77
153,Omboue,GA,2023-01-19 22:07:15,-1.5746,9.2618,75.74,91,100,6.89
154,Xining,CN,2023-01-19 22:07:15,36.6167,101.7667,5.74,64,95,2.1
155,Dubovka,RU,2023-01-19 22:07:16,49.0583,44.829,18.55,93,10,8.34
156,La Romana,DO,2023-01-19 22:07:16,18.4273,-68.9728,80.96,69,20,9.22
157,Faya,SA,2023-01-19 22:07:17,18.3851,42.4509,55.53,78,14,3.06
158,Tobol,KZ,2023-01-19 22:07:17,52.6844,62.5794,-4.5,86,27,4.29
159,Buchanan,LR,2023-01-19 22:07:18,5.8808,-10.0467,79.05,89,48,5.77
160,Labytnangi,RU,2023-01-19 22:07:18,66.6572,66.4183,-7.37,100,33,3.09
161,Puerto Del Rosario,ES,2023-01-19 22:07:19,28.5004,-13.8627,64.15,72,75,27.63
162,Hansot,IN,2023-01-19 22:07:19,21.5833,72.8,65.37,49,14,3.44
163,Mitsamiouli,KM,2023-01-19 22:07:20,-11.3847,43.2844,81.63,77,100,11.23
164,Yar-Sale,RU,2023-01-19 22:07:20,66.8333,70.8333,-2.78,100,99,8.37
165,Walvis Bay,NA,2023-01-19 22:07:21,-22.9575,14.5053,65.62,86,20,9.01
166,Pokaran,IN,2023-01-19 22:07:21,26.9167,71.9167,51.67,70,88,15.26
167,Richards Bay,ZA,2023-01-19 22:07:22,-28.783,32.0377,78.22,88,57,6.22
168,Kamskiye Polyany,RU,2023-01-19 22:07:22,55.4307,51.4171,1.15,87,99,5.23
169,Kapaa,US,2023-01-19 22:07:23,22.0752,-159.319,79.12,86,100,8.05
170,Lyubinskiy,RU,2023-01-19 22:07:23,55.1542,72.6925,8.28,94,95,7.14
171,Mocuba,MZ,2023-01-19 22:07:24,-16.8392,36.9856,72.3,95,92,1.66
172,Markova,UA,2023-01-19 22:07:24,48.6758,24.4138,42.01,79,91,5.93
